X,Y,ele
422891.533566497,4505097.89180496,943.57
422879.285496489,4505111.34435717,943.64
422866.971805632,4505124.61149157,944.56
422854.546096186,4505138.00079885,945.07
422841.789713957,4505151.59827058,945.81
422828.939656086,4505165.03855026,945.95
422816.255754805,4505178.10491702,946.61
422803.638356416,4505190.75186751,946.31
422791.027509306,4505203.3429307,945.94
422778.304169241,4505216.00964633,946.28
422765.496174158,4505228.70517566,945.9
422752.543775745,4505241.13236904,946.34
422739.48500615,4505253.54208677,945.19
422726.187235496,4505266.12182016,944.96
422712.725952236,4505278.63813581,944.77
422699.213876324,4505291.03403003,944.49
422685.664312771,4505303.22563491,943.75
422672.140207067,4505315.1378353,943.28
422658.515066215,4505326.86500399,943.25
422644.575939723,4505338.36283295,943.09
422630.330401188,4505349.67777259,942.7
422615.459960865,4505360.83176238,943.2
422599.949587011,4505371.74121099,943.64
422583.995732249,4505382.2272667,943.46
422567.698399643,4505392.37264108,943.54
422551.2473466,4505402.03577384,942.71
422534.762578166,4505411.17820042,941.59
422518.49843471,4505419.74141316,940.67
422502.865765547,4505427.73044681,939.68
422487.717394974,4505435.29572009,939.1
422472.686818076,4505442.60853921,938.48
422457.804208614,4505449.84540641,938.46
422442.992153778,4505457.05364609,938.14
422428.603080603,4505464.07139667,937.16
422414.686077782,4505470.85159276,936.41
422401.234743817,4505477.45946608,935.86
422387.980841757,4505483.98153717,935.31
422374.881590134,4505490.39035351,934.82
422361.98666263,4505496.69470912,934.4
422349.275296031,4505502.94132553,934.4
422336.521356,4505509.1791064,934.44
422323.632501553,4505515.38109721,934.16
422310.553146848,4505521.65023897,933.38
422297.474495694,4505527.98454236,932.59
422284.104836201,4505534.25677077,932.1
422270.542136782,4505540.35424911,931.64
422256.750907786,4505546.26803573,931.2
422242.851038278,4505551.95034837,930.85
422228.743771955,4505557.43945772,931.23
422214.476645665,4505562.53943072,929.7
422200.056623153,4505567.24090303,929.27
422185.647949645,4505571.67242224,928.67
422171.265776069,4505575.92689582,928.05
