X,Y,Z
478645.719,4434984.356,587.128
478644.677,4434984.116,587.113
478643.626,4434983.884,587.116
478642.581,4434983.646,587.114
478641.536,4434983.417,587.111
478640.499,4434983.192,587.103
478639.453,4434982.958,587.104
478638.41,4434982.72,587.106
478637.367,4434982.491,587.093
478636.308,4434982.272,587.102
478635.252,4434982.046,587.11
478634.206,4434981.828,587.109
478633.164,4434981.628,587.122
478632.117,4434981.398,587.104
478631.075,4434981.182,587.099
478630.042,4434980.957,587.143
478628.984,4434980.743,587.106
478627.922,4434980.515,587.097
478626.87,4434980.285,587.092
478625.814,4434980.06,587.08
478624.759,4434979.841,587.072
478623.71,4434979.635,587.052
478622.663,4434979.421,587.044
478621.609,4434979.198,587.038
478620.558,4434978.989,587.038
478619.505,4434978.773,587.029
478618.442,4434978.575,587.045
478617.376,4434978.365,587.051
478616.314,4434978.151,587.05
478615.286,4434977.915,586.973
478614.211,4434977.714,587
478613.147,4434977.512,587.01
478612.093,4434977.294,586.998
478611.032,4434977.079,586.988
478609.97,4434976.866,586.98
478608.909,4434976.662,586.98
478607.845,4434976.468,587.002
478606.795,4434976.258,586.969
478605.725,4434976.07,586.985
478604.665,4434975.858,586.981
478603.603,4434975.644,586.973
478602.541,4434975.451,586.97
478601.466,4434975.239,586.965
478600.408,4434975.028,586.958
478599.352,4434974.832,586.953
478598.283,4434974.622,586.959
478597.206,4434974.428,586.969
478596.143,4434974.218,586.959
478595.095,4434974.004,586.94
478594.048,4434973.797,586.914
478592.976,4434973.584,586.927
478591.878,4434973.387,586.967
478590.821,4434973.179,586.94
478589.774,4434972.978,586.909
478588.688,4434972.79,586.941
478587.628,4434972.597,586.924
478586.565,4434972.393,586.915
478585.504,4434972.189,586.917
478584.443,4434971.986,586.915
478583.382,4434971.779,586.908
478582.321,4434971.579,586.919
478581.262,4434971.371,586.928
478580.193,4434971.166,586.927
478579.114,4434970.962,586.923
478578.043,4434970.756,586.909
478576.982,4434970.547,586.887
478575.932,4434970.344,586.873
478574.875,4434970.142,586.875
478573.817,4434969.932,586.877
478572.752,4434969.723,586.887
478571.691,4434969.507,586.886
478570.629,4434969.298,586.882
478569.565,4434969.087,586.881
478568.5,4434968.883,586.881
478567.444,4434968.673,586.874
478566.392,4434968.476,586.887
478565.339,4434968.273,586.894
478564.277,4434968.065,586.899
478563.213,4434967.858,586.907
478562.158,4434967.656,586.897
478561.105,4434967.458,586.885
478560.061,4434967.251,586.887
478559.014,4434967.045,586.893
478557.963,4434966.842,586.895
478556.906,4434966.643,586.891
478555.856,4434966.443,586.883
478554.815,4434966.253,586.882
478553.77,4434966.058,586.89
478552.729,4434965.857,586.905
478551.682,4434965.645,586.909
478550.635,4434965.45,586.901
478549.584,4434965.258,586.89
478548.546,4434965.076,586.879
478547.521,4434964.886,586.887
478546.498,4434964.708,586.912
478545.456,4434964.516,586.932
478544.413,4434964.312,586.945
478543.371,4434964.112,586.944
478542.337,4434963.914,586.936
478541.302,4434963.716,586.923
478540.262,4434963.521,586.918
478539.23,4434963.332,586.914
478538.203,4434963.138,586.911
478537.175,4434962.954,586.922
478536.14,4434962.771,586.928
478535.096,4434962.586,586.925
478534.058,4434962.388,586.921
478533.023,4434962.203,586.909
478531.994,4434962.015,586.893
478530.971,4434961.822,586.903
478529.947,4434961.631,586.917
478528.918,4434961.442,586.936
478527.883,4434961.264,586.947
478526.848,4434961.082,586.952
478525.82,4434960.897,586.958
478524.793,4434960.709,586.964
478523.767,4434960.522,586.98
478522.739,4434960.326,586.986
478521.708,4434960.13,586.993
478520.673,4434959.944,586.997
478519.641,4434959.753,586.989
478518.616,4434959.556,586.987
478517.59,4434959.374,586.993
478516.566,4434959.184,586.991
478515.537,4434958.988,586.996
478514.5,4434958.786,587
478513.466,4434958.589,586.99
478512.432,4434958.398,586.985
478511.4,4434958.197,586.979
478510.367,4434958.003,586.971
478509.329,4434957.806,586.973
478508.296,4434957.608,586.959
478507.25,4434957.405,586.954
478506.212,4434957.197,586.947
478505.174,4434956.994,586.937
478504.139,4434956.796,586.931
478503.095,4434956.592,586.926
478502.052,4434956.392,586.931
478501.022,4434956.185,586.931
478499.985,4434955.976,586.939
478498.939,4434955.767,586.934
478497.884,4434955.557,586.943
478496.836,4434955.36,586.934
478495.786,4434955.165,586.919
478494.748,4434954.96,586.91
478493.722,4434954.758,586.912
478492.682,4434954.552,586.92
478491.626,4434954.333,586.938
478490.575,4434954.121,586.939
478489.53,4434953.917,586.93
478488.481,4434953.725,586.916
478487.432,4434953.526,586.917
478486.399,4434953.33,586.914
478485.358,4434953.126,586.919
478484.312,4434952.918,586.923
478483.259,4434952.707,586.924
478482.211,4434952.501,586.921
478481.168,4434952.302,586.918
478480.13,4434952.107,586.922
478479.085,4434951.909,586.936
478478.037,4434951.706,586.945
478476.989,4434951.503,586.941
478475.944,4434951.296,586.941
478474.897,4434951.086,586.949
478473.852,4434950.87,586.95
478472.805,4434950.655,586.941
478471.752,4434950.447,586.944
478470.713,4434950.24,586.932
478469.677,4434950.034,586.934
478468.638,4434949.833,586.943
478467.591,4434949.624,586.955
478466.533,4434949.413,586.963
478465.487,4434949.202,586.961
478464.446,4434948.991,586.954
478463.403,4434948.782,586.959
478462.358,4434948.572,586.956
478461.318,4434948.366,586.957
478460.277,4434948.162,586.965
478459.236,4434947.955,586.973
478458.187,4434947.748,586.983
478457.136,4434947.551,586.987
478456.094,4434947.347,586.99
478455.059,4434947.147,586.99
478454.018,4434946.946,587.007
478452.973,4434946.75,587.013
478451.925,4434946.549,587.021
478450.881,4434946.36,587.022
478449.837,4434946.169,587.025
478448.792,4434945.97,587.027
478447.741,4434945.774,587.023
478446.696,4434945.577,587.012
478445.661,4434945.381,587.006
478444.622,4434945.189,587.006
478443.585,4434944.99,587.005
478442.539,4434944.793,587.012
478441.496,4434944.602,587.009
478440.452,4434944.398,587.005
478439.409,4434944.204,587.008
478438.368,4434944.003,586.997
478437.322,4434943.804,587.004
478436.278,4434943.601,587.001
478435.233,4434943.405,587.001
478434.192,4434943.202,586.999
478433.143,4434943.012,586.995
478432.091,4434942.825,586.993
478431.047,4434942.635,586.99
478430.011,4434942.434,586.989
478428.986,4434942.236,586.989
478427.95,4434942.033,587
478426.909,4434941.825,587.002
478425.869,4434941.618,586.997
478424.824,4434941.422,586.989
478423.793,4434941.22,586.987
478422.772,4434941.018,586.973
478421.74,4434940.818,586.985
478420.714,4434940.606,586.987
478419.696,4434940.404,586.987
478418.677,4434940.203,586.982
478417.653,4434939.996,586.989
478416.63,4434939.793,586.992
478415.624,4434939.583,586.985
478414.615,4434939.376,586.98
478413.608,4434939.173,586.97
478412.603,4434938.969,586.966
478411.608,4434938.759,586.964
478410.613,4434938.549,586.965
478409.618,4434938.343,586.957
478408.618,4434938.138,586.962
478407.627,4434937.934,586.96
478406.642,4434937.743,586.96
478405.662,4434937.546,586.955
478404.664,4434937.358,586.957
478403.678,4434937.174,586.945
478402.703,4434936.979,586.935
478401.73,4434936.8,586.943
478400.762,4434936.617,586.936
478399.785,4434936.434,586.939
478398.806,4434936.245,586.95
478397.839,4434936.063,586.937
478396.862,4434935.879,586.941
478395.891,4434935.701,586.929
478394.923,4434935.52,586.936
478393.954,4434935.335,586.933
478392.984,4434935.159,586.93
478392.012,4434934.979,586.928
478391.046,4434934.795,586.933
478390.084,4434934.613,586.931
478389.116,4434934.439,586.927
478388.145,4434934.25,586.931
478387.176,4434934.056,586.938
478386.214,4434933.875,586.935
478385.251,4434933.694,586.935
478384.286,4434933.516,586.931
478383.323,4434933.34,586.928
478382.36,4434933.162,586.93
478381.394,4434932.975,586.937
478380.428,4434932.8,586.925
478379.465,4434932.614,586.923
478378.504,4434932.425,586.92
478377.544,4434932.241,586.923
478376.583,4434932.059,586.915
478375.619,4434931.885,586.915
478374.654,4434931.697,586.923
